gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
ABO	0	0	0	64	113	3
TMEM17	0	0	0	20	47	0
DNAJC19	0	1	0	10	21	1
ELK4	0	0	0	32	87	1
LRATD1	0	3	0	33	58	0
PRDM5	1	5	0	44	114	5
ZFP91-CNTF	0	1	0	53	82	0
LIMS1	0	0	0	23	30	2
APBB3	0	0	0	39	90	5
UEVLD	2	2	0	35	69	3
LAMTOR1	0	1	0	15	29	0
PRSS38	0	0	0	45	78	3
GPX5	0	0	0	0	0	0
MCAM	1	0	0	76	138	1
GPD2	0	1	0	56	130	8
CRTC2	0	1	0	47	111	0
CHAF1B	0	3	0	50	92	0
RNF168	0	1	0	49	111	6
PTTG1IP	0	1	0	20	40	0
HACD4	0	0	0	20	43	4
PLPP5	1	0	0	24	53	3
SLC2A2	2	0	0	39	84	3
DYNC2I1	0	2	0	102	243	8
RBIS	0	0	0	7	15	0
OR5T3	0	1	0	0	0	0
JDP2	0	0	0	21	35	0
SMG5	2	2	0	82	216	3
CHP2	0	0	0	20	57	1
TAOK1	0	9	4	75	72	0
NRDC	1	1	0	86	155	2
OR6S1	0	0	0	32	93	1
ENSG00000260234	0	0	0	0	0	0
MBD3L3	0	0	0	0	0	0
GRSF1	0	1	0	59	104	2
HELQ	0	1	0	71	191	6
SHISA2	0	1	0	46	74	1
AVPR1B	0	2	0	42	119	6
HEXIM1	0	0	0	40	59	0
DNAJB4	0	2	0	11	43	1
SHISAL2A	0	1	0	20	49	1
ZNF84	0	0	0	62	111	4
SF3B3	0	5	0	90	111	0
FAM24A	0	0	0	6	21	0
ILF3	2	0	0	129	127	0
TRAPPC10	3	5	0	106	190	0
ZNF146	0	2	0	15	19	0
RNF5	0	0	0	0	0	0
APOL5	1	0	0	0	0	0
AMDHD1	0	2	0	41	95	1
NBPF20	0	0	0	28	72	9
NUP153	1	6	0	118	270	0
PATL1	1	3	0	47	112	2
A2ML1	0	4	0	145	304	18
CHERP	1	1	0	140	141	0
DAP3	0	1	0	24	74	2
MMADHC	0	1	0	18	54	4
TNFAIP8	0	1	0	17	35	1
DSCC1	0	2	0	23	73	1
KCTD12	0	1	0	49	58	0
SKOR1	1	1	0	112	195	0
ZHX3	0	5	0	73	180	4
NOTUM	0	3	0	74	107	2
ENSG00000254553	0	1	0	40	95	5
KIAA1586	0	2	0	56	141	10
PAPPA2	2	3	0	160	353	11
ZNF467	0	1	0	67	150	5
ODF1	0	1	0	28	56	2
TGFBR1	0	3	0	42	64	1
GGNBP2	0	4	1	0	0	0
ALPK3	1	4	0	187	413	7
FAH	0	0	0	49	86	4
CXCR2	0	1	0	38	82	0
PHLPP2	2	3	0	113	274	7
OR52E4	1	0	0	28	69	4
FANCF	1	1	0	51	92	1
AMPH	1	2	1	65	126	3
UBE2F-SCLY	0	1	0	10	16	0
SNRPD2	0	0	0	14	6	1
ISOC1	0	1	0	35	58	1
C12orf76	0	0	0	6	16	0
TMEM81	0	0	0	28	39	5
PCNX4	0	2	0	87	247	10
SCML4	2	3	0	52	97	3
OR5AN1	0	1	0	29	51	3
BEND6	0	0	0	21	41	2
ENSG00000287694	2	1	0	122	295	3
KLHL26	1	2	0	109	150	2
SMIM40	0	0	0	0	0	0
TSPO	0	1	0	18	46	1
CCDC85A	1	0	0	74	135	2
MATCAP1	0	0	0	39	90	5
ARHGAP1	0	2	0	48	81	0
PPP4R4	0	1	0	0	0	0
ZNF587B	0	0	0	55	136	13
GTF2I	0	1	0	24	31	0
ENSG00000267748	0	0	0	6	34	2
SDS	0	1	0	47	71	4
SINHCAF	0	1	0	0	0	0
ZNF90	1	0	0	46	145	4
C1GALT1C1L	0	0	0	22	66	2
EFCAB2	0	0	0	13	36	5
UGT8	0	2	0	46	80	0
SEC61B	0	0	0	12	18	0
LRRC73	1	1	0	31	41	0
ABHD4	1	1	0	39	67	5
ALAD	0	2	0	42	70	2
LMTK2	1	7	1	201	318	0
NANOS1	0	2	0	46	81	1
GOLIM4	0	0	0	60	158	6
GPBP1L1	1	0	0	54	88	2
WNT2B	0	0	0	36	93	0
ERMARD	1	0	0	0	0	0
MMACHC	0	0	0	32	77	7
RPS7	0	0	0	16	18	0
NAP1L5	0	1	0	22	45	0
KCNA4	1	4	0	60	106	1
PARP2	0	3	0	44	116	6
KPNA6	1	0	0	33	48	1
TGFBI	1	0	0	70	144	1
PECR	1	2	0	33	67	4
XPO6	0	3	0	96	152	0
SGSM2	2	2	1	148	271	3
SDHC	0	1	0	10	33	3
HTD2	0	0	0	8	28	0
SLC31A1	0	0	0	14	17	1
HHEX	1	0	0	32	38	0
PNLIPRP2	0	0	0	0	0	0
RAD51	0	3	0	28	37	1
LARS1	0	2	1	78	181	4
NLRP1	1	2	2	160	291	11
KLF15	0	0	0	47	86	1
PCM1	0	7	0	185	553	10
MARK2	1	5	1	60	94	0
NUP58	1	0	0	55	95	1
SPSB1	0	2	0	28	26	0
OSBPL8	0	0	0	60	117	3
TAS2R19	0	0	0	0	0	0
ENSG00000260851	0	0	0	0	0	0
AKAIN1	1	0	0	6	14	0
GRAMD2B	0	0	1	32	67	4
RFC5	0	0	0	25	44	5
MROH6	5	0	0	0	0	0
INTS1	4	7	1	395	535	11
ZNF837	0	2	0	78	168	7
FAM227A	0	1	1	47	113	5
COQ10B	0	1	0	17	40	2
HOXD3	0	1	0	42	80	1
ATP6V1H	1	4	0	33	82	2
CASC3	0	1	0	54	134	4
ERP27	1	0	0	21	64	1
CMBL	1	0	0	22	58	2
SLC9C2	1	5	0	56	146	3
PKIB	0	0	0	3	13	1
ENSG00000255730	1	1	0	76	126	5
OXR1	0	3	0	47	142	3
CALB2	0	0	0	33	52	3
NDUFA11	0	1	0	21	35	1
DCLK1	1	2	0	77	74	0
