gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
DEFB112	DEFB112	ENSG00000180872	6	0.020684	1.904	0	1	0	0	0	0	2	9	0	0
SPRR2F	SPRR2F	ENSG00000244094	1	0.08518	1.904	0	0	0	0	0	0	1	1	0	0
RP11-408E5.4	AL139327.1	ENSG00000121388	13	0.085277	1.904	0	0	0	0	0	0	0	0	0	0
CASC10	MIR1915HG	ENSG00000204682	10	0.084846	1.905	0	0	0	0	1	0	0	1	0	2
RLN2	RLN2	ENSG00000107014	9	0.00090025	1.905	1	1	0	0	0	0	6	12	2	1
GOLGA8O	GOLGA8O	ENSG00000206127	15	1.70E-07	1.905	0	0	0	0	0	0	0	0	0	0
AC138647.1	AC138647.1	ENSG00000226490	8	0.020424	1.905	0	0	0	0	0	0	0	0	0	0
RNASE4	RNASE4	ENSG00000258818	14	0.00017566	1.905	0	0	0	0	0	0	9	5	1	1
C5orf63	C5orf63	ENSG00000164241	5	0.0044611	1.905	0	0	0	0	0	0	0	0	0	0
OR8J1	OR8J1	ENSG00000172487	11	1.01E-06	1.905	1	2	0	0	0	0	6	8	2	3
MAP1LC3C	MAP1LC3C	ENSG00000197769	1	5.81E-06	1.905	0	2	0	0	3	2	6	2	1	2
